Title,Company,CompanyRating,Location,Salary
Dishwasher and Busser,Sushi by m,,"New York, NY ",38880.0
Mail Clerk,The Farm Soho,,"New York, NY ",
Front Desk Attendant,St mars security,,"New York, NY ",41040.0
Greeter / Customer Service - Host,Rockstar Executive,,"New York, NY ",
"JUICE PRESS IS HIRING, FULL TIME/PART TIME + TIPS!",Juice Press,3.1,"New York, NY ",36720.0
Medical Instructor,Manhattan School of Computer Technology,3.3,"Brooklyn, NY ",45360.0
Sports Trader (NBA),FanDuel,3.8,"Jersey City, NJ ",
"Personal Shopper, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",4.0
"Commission Sales Associate - Balenciaga Women's Shoes, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Full-Time Chiropractor,Tru Whole Care,,"New York, NY ",7.0
Personal Assistant,Smith & Associates,3.3,"New York, NY ",8.0
City Laborer,NYC Careers,,"New York, NY ",78300.0
THE LATE SHOW WITH STEPHEN COLBERT - Talent Department Assistant,CBS Studios,3.9,"New York, NY ",
Front Desk Associate,Capsule,3.4,"New York, NY ",
Paraprofessional,Preferred Home Care of New York,,"Bronx, NY +1 location",43200.0
Spa Attendant/Receptionist,Be Relax,,"Jamaica, NY ",
Front Desk Receptionist,EDSI,4.0,"New York, NY ",54000.0
Join us at Northwell Health’s Open House Career Events!,Northwell Health,3.9,"Forest Hills, NY ",
Scheduler,Northwell Health,3.9,"New York, NY +5 locations",3.0
Front Desk Receptionist,"HMG Plus, Inc.",3.8,"New York, NY ",54000.0
Relief Concierge / Door Person,Allied Partners,,"New York, NY ",47520.0
Retail Associates,Hobby Lobby,3.6,"New York, NY ",
Dog Walker servicing NYC- $300- $500 a wk,MixyPaws Dog Walking,3.0,"New York, NY ",16200.0
Warehouse Worker - Package Handler,United Parcel Service,3.7,"Maspeth, NY ",32400.0
Customer Success Manager- New York,Wonder,,"New York, NY +1 location",1.0
Packing and Shipping Team Member,Magnolia Bakery,3.4,"Long Island City, NY ",34560.0
Chick-fil-A Team Members and Leaders 1000 6th Ave & 219 W 34th St,Chick-fil-A,3.9,"New York, NY ",34560.0
Part-Time Front Desk Administrator,American Infusion Centers,,"New York, NY ",
"AT&T Retail Sales Associate - W. 23rd Street - New York, NY",Millennium Wireless Technology,4.8,"New York, NY +2 locations",4.0
Entry-Level Stagehand,production glue llc,,"New York, NY ",54000.0
Workplace Service Coordinator - New York,TikTok,3.4,"New York, NY ",
Administrative Assistant,MCR Hotels,4.0,"New York, NY ",7.0
Data Entry Clerk,Jason R. Johnston,3.3,"New York, NY ",30240.0
Front Desk Receptionist,Centers Health Care,3.6,"Brooklyn, NY ",
Front Desk Receptionist,Advanced Dental Care,3.1,"Brooklyn, NY ",36720.0
Warehouse Picker Order Selector,Keurig Dr Pepper,3.1,"Maspeth, NY ",45360.0
Custodian,Mobile Health,3.1,"Brooklyn, NY ",36720.0
Front Desk Associate,Courtyard New York Midtown West,,"New York, NY ",54000.0
"Home Cleaner - Part-time ""ON CALL"" | SPANISH (3 - 12 hours weekly)",Cleaning Pros,3.4,"New York, NY ",34560.0
Part-Time Cashier,ALDI,3.3,"Bronx, NY +4 locations",41040.0
Overnight Concierge (Union),Brookfield Properties,3.7,"New York, NY ",58320.0
Receptionist,Meliora,,"New York, NY ",4.0
"Paws Down, The Best Dog Walkers in NY. $300-$700 per week",NYC POOCH,4.7,"New York, NY ",16200.0
Afternoon babysitters in Manhattan (start ASAP!),Apiari,,"Manhattan, NY ",54000.0
Hotel Front Desk Clerk,SECURITY USA INC.,3.6,"Manhattan, NY ",43200.0
Hotel Front Desk professional $20hr,SECURITY USA INC.,3.6,"Manhattan, NY ",43200.0
Servers needed for Upscale Hell's Kitchen Restaurants- Marseille and Nizza,Marseille,,"New York, NY ",64800.0
Behavior Technician,Momentum Behavior Care,,"New York, NY ",
Busser,Virgils Real BBQ - Time Square,,"New York, NY ",32400.0
Ice Cream Server/Cashier,Holey Cream,,"New York, NY ",32400.0
Trabajos de Limpieza (Medio Tiempo),IBS-Building Service Contractors Inc,,"New York, NY ",
Front Desk Receptionist,Integrative Spine and Sports,,"New York, NY ",
Dispatcher for Amazon DSP,DND Delivery LLC,,"Maspeth, NY ",49680.0
Customer Service Associate,Manhattan Connections,,"New York, NY ",37800.0
Child Care Worker,Life Time,3.5,"Brooklyn, NY +1 location",43200.0
Restaurant Open Call- Hiring for BOH+ FOH positions!,Jupiter,3.9,"New York, NY ",3.0
Mobile Medical Assistant,Aura,3.7,"Manhattan, NY ",86400.0
Customer Service Representative (part-time) - NYC,Lumen,3.5,"New York, NY ",
Patient Care Associate,Northwell Health,3.9,"New York, NY ",
Customer Service Representative,Cambridge West Inc.,,"New York, NY ",40500.0
RECEPTIONIST,Flik Hospitality Group,3.5,"New York, NY ",54000.0
Cashier - JFK Airport,HMSHost,3.1,"New York, NY ",38880.0
Private Nanny,Private Family,,"New York, NY ",54000.0
JFK Wheelchair Agent Part-Time,ERMC Aviation LLC,,"Jamaica, NY ",38880.0
Brooklyn Dog Walker Needed,Swifto,,"Brooklyn, NY ",41040.0
Dispatcher,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY +1 location",37800.0
Stagehand,production glue llc,,"New York, NY ",75600.0
"Seasonal Gift Wrap Associate, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Warehouse Selector,Krasdale Foods Inc,3.2,"Bronx, NY ",36720.0
Stockroom Retail Assistant - $16.50/HR,Primark - US,3.5,"New York, NY ",34560.0
Nurse Aide (Transport Escort),NYC Health + Hospitals,3.8,"New York, NY ",
In-Store Shopper (Online Orders) - Part Time,Whole Foods Market,3.7,"New York, NY +10 locations",
Admissions Clerk,New York University,4.2,"New York, NY ",
Starbucks Barista/Cashier,STARBUCKS,3.9,"New York, NY ",34560.0
Driver,LAVIPOUR & CO,,"New York, NY ",94500.0
Patient Dining Associate,Restaurant Associates,3.8,"New York, NY ",
Airport Social Media Monitor - On-Call - JFK,ERMC Aviation LLC,,"Jamaica, NY ",54000.0
Patient Services Associate- Remote work from home opportunity,Alliance HealthCare Services,3.2,United States ,
Nurse Appeals - Child Req. for JR15929,Elevance Health,3.6,"New York, NY ",
Special Agent,Federal Bureau of Investigation,4.3,"Newark, NJ ",7.0
Part Time Sales Associate - SoHo,Dr. Martens Airwair USA,4.0,"New York, NY ",41040.0
Freelance Voice Over Artist,Filmless,,"New York, NY ",
Assistant Case Manager,Fairview Rehab and Nursing home,,"Forest Hills, NY ",99900.0
Closing Agent For Merchant Cash Advance,SUTTON FUNDING,,"New York, NY ",1.0
"Sales Associate - Herve Leger, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Part-Time Educator,Lululemon,4.2,"New York, NY ",32400.0
Warehouse Associate,UNITED PARCEL SERVICE,3.7,"New York, NY +3 locations",38880.0
Customer Care Reps - Work from Home,WellSense Health Plan,3.2,"New York, NY ",41040.0
HIRING NOW** Nordstrom Flagship NYC - The Tower & The Men's Store,Nordstrom,3.8,"New York, NY ",36720.0
Starbucks Barista FiDi / TriBeCa,Starbucks,,"New York, NY ",34560.0
Academic Tutors Online,Learnt,,"New York, NY ",
Maintenance Apprentice,United Parcel Service,3.7,"New York, NY ",
Warehouse Agent - JFK AIRPORT,Corporate Loss Prevention Associates,,"Jamaica, NY ",36720.0
"Customer Service Representative - 90345085 - New York, NY",Amtrak,3.7,"New York, NY ",
Hotel Reservation Agent,The Dominick Hotel,3.0,"New York, NY ",64800.0
Dog Walker,Dog City NYC,,"New York, NY ",24300.0
Driver/Office Assistant,(Confidential) Real Estate and Property Management Firm,,"New York, NY ",51840.0
City Laborer - OER,NYC Careers,,"New York, NY ",78300.0
"Book Publishing, Assistant",Creative Artists Agency (CAA),3.9,"New York, NY ",
Covid Tester,SafeCamp,,"New York, NY ",
Customer Service Associate,Manhattan Connections,,"New York, NY +1 location",37800.0
Server,Estiatorio Milos,3.2,"New York, NY ",9.0
