Title,Company,CompanyRating,Location,Salary
Team Member,Applebee's,3.5,"Brooklyn, NY ",$15 - $20 an hour
Sales Associate,Maya Events,,"New York, NY ",$650 - $879 a week
Customer Support Associate - Part-Time,Jackpocket,,"New York, NY ",
Call Center Agent,Meliora,,"New York, NY ",$16 - $21 an hour
Spa Receptionist,Green Tea Spa at 35th,,"New York, NY ",$15 - $20 an hour
Data Entry,"C6 Capital, LLC",,"New York, NY ",$15 - $25 an hour
IT Help Desk Support,Peraton,3.2,"New York, NY ",
Guest Service Agent,"The Standard, East Village",,"New York, NY ",$21 - $23 an hour
Passenger Service Agent - JFK- Full Time and Part Time / SIGN ON BONUS!!!,The Professional Group,3.7,"New York, NY ",$17 an hour
Front Desk Receptionist,Libera medical Pllc,,"New York, NY ",$18 - $26 an hour
Crime Victim/ Domestic Violence Advocate - Manhattan,Safe Horizon,3.8,"New York, NY +4 locations",
Accounts Payable Specialist,Charlie Health,3.8,"New York, NY ",
HR Generalist,Northspyre,,"New York, NY ",
Customer Service Representative - NJ,Wine.com,3.7,"Maplewood, NJ +1 location",
Starbucks Barista,Starbucks,3.9,"New York, NY +4 locations",$16.24 an hour
"Sales Associate - Hobbs, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
"Sales Associate - Handbags, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Personal Assistant,10th Ave Chelsea,,"New York, NY ",$50 - $60 an hour
Data Entry Clerk- (Overnight),Confidential,,"Bronx, NY ","$42,000 - $45,000 a year"
"Confidential Investigator, Special Investigations (Level 3) – 14464",NYC Department of Education,3.9,"New York, NY ","$65,000 a year"
Now Hiring Cashier AND Stocker in Williamsburg,Tenichi Mart,,"Brooklyn, NY ",$15 - $18 an hour
IT Operations Manager,Charlie Health,3.8,"New York, NY ",
Cashier,Cipriani,4.0,"New York, NY ",
Executive Assistant,Workforce Opportunity Services,3.5,"New York, NY ",$45 an hour
Front Desk Receptionist,Chaps & Co New York,,"New York, NY ",$17 - $21 an hour
Administrative Support Associate,Northwell Health,3.9,"New York, NY ",
Retail Associate - Cashier,Compass,,"New York, NY ",$18 - $21 an hour
JFK Cabin Lavatory Driver,ERMC Aviation LLC,,"Jamaica, NY ",$21 an hour
Student Associate Program - Human Resources & People Acquisition (Summer Season 2023),Madison Square Garden Entertainment,3.9,"New York, NY ",
Research Assistant I-Neurosciences,Mount Sinai,3.8,"New York, NY ",
Substitute Teachers,United Nations International School,4.1,"New York, NY ",$66 an hour
Stock Associate,FERRAGAMO USA INC,4.0,"New York, NY ",
Cat Sitter,NYC Cat Sitting,,"Brooklyn, NY ",$15 an hour
Store Associate,Goodwill Industries Of Greater New York,3.8,"New York, NY ",$15.50 an hour
Flight Club Seasonal Consignment Associate 2022,GOAT,3.5,"New York, NY ",
Proctor,Touro University New York,,"New York, NY ",
Territory Account Manager - Manhattan,Uline,3.1,"New York, NY ","$68,000 - $120,000 a year"
"Commission Sales Associate - Handbags, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $30 an hour
"$1,000 BONUS LIVE-IN HOME HEALTH AIDE",Americare,4.0,"Brooklyn, NY ",$249 a day
"Associate Account Executive, Admissions",The Flatiron School,,"New York, NY ","$50,000 a year"
Warehouse Associate - Picker/Packer,METROSPEEDY,3.7,"New York, NY ",$15 an hour
Dog Walker - Servicing Manhattan - $350 - $600 a week,"NYC Dog Walkers, LLC",,"Manhattan, NY ",$350 - $600 a week
Administrative Assistant/Receptionist,C21,,"Bronx, NY ","$1,000 a week"
Full Time Retail Assistant $16.50/HR - 7am-330pm -Jamaica NY (Queens),Primark - US,3.5,"New York, NY ",$16.50 an hour
Dispatchers Needed,Professional Transit,3.3,"Jamaica, NY ",
"Seasonal Trim Selling Associate, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
Covid Compliance Officer / Testing,Fishtech Medics,,"New York, NY ",$25 - $30 an hour
Patient Care Associate,Northwell Health,3.9,"New York, NY +4 locations",$23.76 - $25.04 an hour
Front Desk Associate - Noho,Blink Fitness,3.3,"New York, NY ",
Bathroom Attendant,Swingers - the crazy golf club,,"New York, NY ",$17 an hour
Accessioner / Processor,Centers Health Care,3.6,"Queens, NY ",$20 an hour
Security Officer (Floater) - $18/HR - Zoom or In Person - Nov 1 or Nov 2,Alliance Building Services,3.3,"New York, NY ",$18 an hour
Housekeeper,Northwell Health,3.9,"New York, NY ",$22.06 - $23.29 an hour
Assistant Maintainer/Cleaner,Metropolitan Museum of Art,3.8,"New York, NY ",
Handy Person,UG2,3.1,"New York, NY ",$31.27 an hour
East Village Tutors Needed – All Subjects Grade Potential From ABCs to PhDs,Grade Potential Tutoring,4.0,"East Village, NY ",$18 - $30 an hour
(Fully Remote) Insurance Verifier,Omni Eye Specialist Pa,,"Iselin, NJ ",
Seasonal Sales Associate,Coach,3.9,"New York, NY ",$15.00 - $20.50 an hour
Part Time Seasonal Sales Associate - New York Area,Dr. Martens Airwair USA,4.0,"New York, NY +2 locations",$19 an hour
"Resident Manager, Live-in, Luxury, Rentals",Soar Real Estate,,"Brooklyn, NY ","$90,000 - $100,000 a year"
porter- Cleaning person,Elite Amenity Management,3.2,"New York, NY ",
Medical Receptionist,CityMD,,"Brooklyn, NY ",$18 an hour
Delivery Associate - $19.25 (Full-Time),Amazon DSP,,"Maspeth, NY ",$19.25 an hour
Front Desk Receptionist/Administrative Assistant,Heights Dermatology and Laser Group,,"Brooklyn, NY ",$18 - $23 an hour
Ticketing Agent,COUNCIL FOR AIRPORT OPPORTUNITY,4.1,"Jamaica, NY ",
Coat Room Attendant,Swingers - the crazy golf club,,"New York, NY ",$17 an hour
"Dog Walkers - Greenpoint, Brooklyn",JoJo Pet Club,,"Brooklyn, NY ",$16 - $20 an hour
Crew Member start at $15/hr,Five Guys NY,,"Brooklyn, NY +1 location",$15 - $16 an hour
Private Chef,Private Person,,"New York, NY ","$1,000 - $1,500 a week"
"Commission Sales Associate - Theory, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $30 an hour
Medical Warehouse Associate,NYC Health + Hospitals,,"New York, NY ","$42,000 - $45,000 a year"
Back End Developer,Underdog.io,,"New York, NY ","$130,575 - $182,687 a year"
Front Desk Dental Receptionist,Dental Excellence of New York,,"Fresh Meadows, NY ",$16 - $20 an hour
"Commission Sales Associate - Intimates, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $30 an hour
COVID Testing,Eagle Medical Solutions,,"New York, NY ",$18 - $19 an hour
Temporary Cashier Associate,Sephora,3.8,"New York, NY ","$1,000 - $1,500 a month"
Barista- Starbucks Reserve at the Empire State Building - New Store Opening,Starbucks,,"New York, NY ",$17.86 - $23.82 an hour
"Housekeeping, Maids and Housekeeping Cleaners",PowerMaids,,"New York, NY ",$40 - $150 an hour
CONCIERGE OFFICER,Securitas,3.2,"New York, NY ",
Customer Experience Specialist,1800Flowers.com,3.7,"Jericho, NY ",$23 - $27 an hour
PCA/Caregiver Positions Available !! FREE 6 DAYS training if Not Certified,Heart to Heart Home Care,3.2,"Brooklyn, NY ",$15 - $17 an hour
Leasing Professional - New York City,Greystar Real Estate Partners LLC,,"New York, NY ",$29 - $30 an hour
County Clerk of Bronx County,"State of New York, Unified Court System, Appellate Division",,"Bronx, NY ","$210,900 a year"
Dog Walker,NYC POOCH,4.7,"New York, NY ",$17 - $30 an hour
"New York City, Upper East Side, Sales Associate - Full-Time",STUDS,,"New York, NY ",$22 an hour
Foreign Language Interpreter,SOS International LLC,,"New York, NY ",
Ramp Agent (Seasonal) - JFK,Delta,4.2,"New York, NY ",$19.04 an hour
Dental Treatment & Patient Care Coordinator- FULL TIME,Park 56 Dental Group,,"New York, NY ",$25 - $30 an hour
"Seasonal Visual Support Associate, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Limpieza De Casa - Part-time | NY NY (3 - 12 hours weekly,Cleaning Pros,3.4,"New York, NY +1 location",$16 - $19 an hour
"Seasonal Corporate Services Associate, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Stock Supervisor,Mango,3.6,"New York, NY ",$20 an hour
Guest Service Agent,Hotel Indigo,3.4,"New York, NY ",$21 - $24 an hour
Warehouse Associate,G&G Electric Supply Co,3.4,"Bronx, NY ",$16 - $22 an hour
McDonalds Crew Member,McDonald's,3.5,"New York, NY +4 locations",
"Food Service Worker, 52nd & Lex",DIG,3.5,"New York, NY ",$17 - $19 an hour
CSR - Customer Service Representative,Maya Events,,"Manhattan, NY ",$675 - $980 a week
"Seasonal Selling Associate - Moncler, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
Hotel Front Desk Clerk,sohotel,,"New York, NY ",$20 - $25 an hour
Inbound Educational Call Center (Full-Time - Remote),"Huntington Learning Center, Inc.",3.6,"Oradell, NJ ",$15 an hour
Warehouse Worker,B&H Photo,3.3,"New York, NY ",
HOUSE CLEANER THAT LOVES DOGS,Manhattan Center For Headache & Neurology,,"New York, NY ",$20 - $25 an hour
Dietary Worker,Northwell Health,3.9,"New York, NY ",$21.02 - $22.22 an hour
Independent Contractor/Delivery Driver,Capstone Logistics LLC,,"Williamsburg, NY ",
Patient Service Representative,CityMD,,"Jersey City, NJ ",$18 an hour
U.S. Probation Officer,U.S. Courts,3.9,"New York, NY ","$59,750 - $88,791 a year"
Legal Receptionist/Law Office Assistant,Rivkin Radler LLP,3.7,"New York, NY ","$50,000 - $60,000 a year"
Receptionist/Office Assistant,Citistaffing,3.4,"New York, NY ","$50,000 - $70,000 a year"
"Auto Technician $60-120,000 year salary!",AAMCO Transmission & Total Car Care,3.8,"Bronx, NY ",$25 - $50 an hour
Retail Associate,CVS Health,3.3,"New York, NY ",$15 - $17 an hour
College Basketball Data Scout - New York City Area,Scouting Heroes,,"New York, NY ",
Front Desk Associate - FiDi,Blink Fitness,3.3,"New York, NY ",
Front Office Coordinator,Bronx Management Company,,"Bronx, NY ",$725 - $850 a week
Bilingual Spanish Home Care Coordinator,Heart to Heart Home Care,3.2,"Brooklyn, NY +1 location",
LEO Supervisor,Mulligan Security LLC,3.7,"New York, NY ",$33 an hour
"FCM - Corporate Travel Consultant (SABRE Req.)- New York City, NY",FCM,3.4,"New York, NY ","$50,000 - $90,000 a year"
Volunteer Videographers Needed For 13th Annual CRF Celebrity Gala,The Cristian Rivera Foundation,,"New York, NY ",
Dental Receptionist,Riverside Dental Care,4.3,"New York, NY ",$20 - $25 an hour
Customer Support Specialist,Healthie,,"New York, NY ",
"Retail Commission Sales Associate, Herald Square - Full Time",Macy’s,3.6,"New York, NY ",$15.00 - $26.36 an hour
Cleaner/Janitor (Experience in a Commercial Building Required),Kent Security of New York,3.0,"New York, NY ",
Medical Records Clerk - Per Diem,Northwell Health,3.9,"New York, NY ",$23.28 - $24.59 an hour
"Asset Protection Visual Security Officer, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Experienced Limousine Dispatcher New York,Confidential,,"Astoria, NY ",$25 - $35 an hour
PCA Personal Care Assistant,Seniors First,3.3,"New York, NY +1 location",$20 - $22 an hour
Yard Foreman,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY ","$1,300 - $2,000 a week"
Handy Man,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY ","$1,200 - $1,600 a week"
Weekend Doorperson/Concierge,Choice NY Property Management Company,,"Brooklyn, NY ",$20 - $22 an hour
Front Desk Clerk,Project Renewal,3.4,"New York, NY ",$17.50 an hour
"Billing Support Representative at Mental Health Startup (Full-Time, Remote)",Grow Therapy,4.8,"New York, NY ",
Full-Time Server,Friend of a Farmer,3.3,"New York, NY ","$800 - $1,400 a week"
Sales Associate,VEJA,,"New York, NY ",$20 an hour
Barista and Cashier,Starbucks,3.9,"New York, NY ",
Ground Person / Flagger,Colossal Media,,"Brooklyn, NY ",$20 an hour
"2023 - Early Career - HR – Analyst - United States, New York (NY) & Jersey City (NJ)",AIG,3.7,"New York, NY ","$58,500 - $93,600 a year"
Seasonal Stock Associate,CB2,3.2,"New York, NY ",
Sales Associate,R&R marketing group llc,,"Bronx, NY ",$600 - $700 a week
Stock Associate,USAPE LLC (A Bathing Ape),,"New York, NY ",$17 an hour
"Human Resources, Summer Analyst - New York (North America - 2023)",Citi,3.9,"New York, NY ",
Bathroom Attendant,Cipriani,4.0,"New York, NY ",
Event Staff/Security - New York Mets,BEST Crowd Management,3.6,"Westbury, NY ",$25 an hour
Airport Customer Experience Specialist - On-call - JFK,ERMC Aviation LLC,,"Jamaica, NY ",$18 an hour
Press Assistant,NYC Mayors Office,,"New York, NY ","$85,000 - $95,000 a year"
Dishwasher,City Winery Grand Central,,"New York, NY ",
"Administrative Assistant - Bilingual Spanish, English",Consulate General of Uruguay in New York,,"New York, NY ","$3,800 - $4,300 a month"
Packer/Picker,"Duggal Visual Solutions, Inc.",3.5,"Brooklyn, NY ",
Live-in Nanny,KBC Childcare,,"New York, NY +3 locations","$1,200 - $2,000 a week"
STOCK ASSOCIATE,Longchamp USA Inc,3.5,"New York, NY ",
Server,fuji hibachi/soup dumpling,,"New York, NY ",$180 - $250 a day
Live-in Housekeeper or Nanny,NannyCity,,"New York, NY ",$25 - $30 an hour
Pizzeria Crew Member,Jet's Pizza,,"New York, NY ",$16 - $17 an hour
"DELIVERY DRIVER-Maspeth, NY-DBK4",Cornucopia Logistics,,"Maspeth, NY ",
Delivery Walker (Non Driver),Delivery Service Provider,,"New York, NY ",$16 an hour
Nanny,Elite Nannies,,"Brooklyn, NY ","$125,000 - $140,000 a year"
Now Hiring - Up To $22/hr,Restaurant Depot,,"Jersey City, NJ +10 locations",
Retail Stocker (Full Time + Seasonal),Eataly,3.2,"New York, NY ",
Crew Member,Dunkin Donuts | Emmys Donut Corp,3.4,"Brooklyn, NY ",$15 - $17 an hour
西安名吃店员 Store Associate,Xian Famous Foods,3.2,"New York, NY ",
"General Manager - New York, NY",Panera Bread,3.4,"New York, NY ","$83,500 a year"
Front Desk Associate - 54th Street,Blink Fitness,3.3,"New York, NY +17 locations",
"Seasonal Selling Associate - Carousel/Women's Accessories, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
Retail Customer Service Advocate,Brainiac Marketing INC,,"Brooklyn, NY ",$700 - $900 a week
"Third Party Vendor Risk Assessments Specialist, AVP - Remote",MUFG,3.4,"New York, NY ",
Team Member,Chipotle Mexican Grill,3.5,"Brooklyn, NY +2 locations",$17 an hour
SNAP ELIGIBILITY INTERVIEWER,NYC Careers,,"New York, NY ","$37,748 - $43,410 a year"
Renewals Specialist (Remote),Myriad360,4.1,"Remote, NY ","$65,000 - $75,000 a year"
HR Coordinator/Executive Assistant,Lang.ai,,"New York, NY ",
Legal Counsel,Fund For Public Health In New York Inc,4.2,"New York, NY ","$110,000 - $120,000 a year"
Seasonal Overnight Receiving Associate,Burlington Stores,3.2,"New York, NY ",$15 an hour
"Director, Software Engineering",Indeed,4.3,"New York, NY ","$196,000 - $284,000 a year"
"Seasonal Selling Associate - Home, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
Room Attendant/Housekeeping,Hotel Giraffe,,"New York, NY ",
Implant Inventory Assistant,New York University,4.2,"New York, NY ",
"Protector, Travel Team",Crisis24,4.5,"New York, NY ","$70,000 - $95,000 a year"
Crafty and Creative Invitation Assistant,Alpine Creative Group,,"New York, NY ",$18 - $22 an hour
Wealth Strategy Associate,UBS Financial Services,3.8,"New York, NY ","$90,000 - $200,000 a year"
Server,The Mark Hotel,4.0,"New York, NY ","$1,300 a week"
Operations Associate (Front Office Associate) - Bilingual,The Equity Project Charter School,3.8,"New York, NY ","$58,500 - $65,000 a year"
JFK Cabin Agent,ERMC Aviation LLC,,"Jamaica, NY ",$18 an hour
"Admitting Clerk - NYU Langone Orthopedic Hospital *P/T 14 hrs per week, Saturday, Sunday and Holidays; 3:00 PM - 11:00 PM*",NYU Langone Health,4.0,"New York, NY ",
Talent Acquisition Specialist,"Hitachi America, Ltd.",3.8,"New York, NY +1 location","$105,000 - $115,000 a year"
Commercial Cleaner,Accurate Carpet Cleaning & Maintenance Inc.,,"New York, NY ",
Social Epidemiologist,Fund For Public Health In New York Inc,4.2,"Long Island City, NY ","$80,000 - $87,000 a year"
Team Member,Pret A Manger,3.3,"New York, NY ",
Property Manager,TF Cornerstone,3.9,"Manhattan, NY ",
Cashier/Front of House employees - NEW Restaurant Opening!,Glaze Teriyaki,,"New York, NY ",$16 - $17 an hour
Bookseller - Temporary,Barnes & Noble,3.8,"New York, NY +11 locations",
Concierge (Full-Time),AvalonBay Communities,3.8,"Brooklyn, NY +1 location",$24 - $26 an hour
Server And Cashier,Rockstar Executive,,"New York, NY ",
Guest Service Agent,Hotel Giraffe,,"New York, NY ",
Passenger Service Agent (Airline Industry),Air France & KLM,4.1,"Jamaica, NY ",$18 an hour
Plastic Surgery Patient Coordinator,NYC Medical Practice,,"New York, NY ","$50,000 - $80,000 a year"
Retail Store Sales Associate,Pearl River Mart,,"New York, NY ",$15 - $25 an hour
Driver,Gerardo's Transit,,"New York, NY ",$200 a day
Replenishment - Retail Assistant,Primark - US,3.5,"Brooklyn, NY ",
Grocery Stocker / Customer Service,Hudson Greene Market,3.2,"Jersey City, NJ ",$14 - $16 an hour
BCBA / LBA,Autism Care Partners,3.2,"New York, NY ",$70 - $85 an hour
Gallery Assistant,Storage Gallery,,"New York, NY ",$15 - $20 an hour
Promote Nightclubs and Events,SN19 Agency,,"New York, NY ",
Passenger Service Agent,Airport Terminal Services Inc,3.0,"Queens, NY ",
Customer Service/Call Center (Bank/Financial services),ASC,,"New York, NY ",$19 - $20 an hour
National Account Manager,Indeed,4.3,"New York, NY ",$38.46 - $64.90 an hour
Accounting Associate : 331513,CorTech,3.1,"New York, NY ",$27 - $32 an hour
Bilingual Online English Tutor,AmazingTalker,3.8,"New York, NY ",$16 - $25 an hour
"Evening Office Cleaner, Part Time, Brooklyn",Unity Building Services,3.8,"Brooklyn, NY +1 location",
In-Store Shopper Part-time,Whole Foods Market,3.7,"New York, NY +5 locations",
Empacador de comida (10pm-6:30am),New Classic Cooking LLC,5.0,"Elizabeth, NJ +2 locations",$18 an hour
Receptionist,Owens Corning,3.6,"New York, NY ",$25 - $30 an hour
Dishwasher - Hudson Yards,Atria Senior Living,3.1,"New York, NY ",
Seasonal Part-Time Retail Assistant- Kings Plaza,Primark - US,3.5,"Brooklyn, NY ",
Dental Assistant,Big Apple Dental,,"New York, NY ",$24 - $40 an hour
U.S. Pretrial Services Officer,United States District Court Northern District of Indiana,4.3,"Brooklyn, NY +1 location","$52,991 a year"
Doorman/Concierge - Overnight,NFC Amenity Management,,"New York, NY ",$18 an hour
Tractor Trailer Driver,United Parcel Service,3.7,"New York, NY ",$36 an hour
Front Counter Cashier & Team Member,Chick-fil-A 42nd and Madison,3.9,"New York, NY ",$16 - $17 an hour
Call Center Representative,"Fresh Start Capital, Inc",,"New York, NY ","$50,000 - $100,000 a year"
"Product Manager, Patient Experience",Oscar Health,3.3,"New York, NY ","$136,000 - $178,500 a year"
Front Desk Receptionist,Elite Amenity Management,3.2,"New York, NY +2 locations",
PT Overnight Stock Associate - 5th Ave,Five Below,3.4,"New York, NY ",
Social Media Manager,Tenderfoot Studio,,"Brooklyn, NY ",$18 - $25 an hour
Receptionist/Scheduling Coordinator,High Line Smile Design - Orthodontics for Everyone,,"New York, NY ",$17 - $19 an hour
"Seasonal Sales Associate - Carousel, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Dog Daycare playroom supervisor,DIGS Canine Hotel Spa & Daycare,,"Brooklyn, NY ",$18 - $21 an hour
"Coordinator, Influencer",SHADOW,4.3,"New York, NY ",
Cat Caretaker,Vet Mobile,,"Fresh Meadows, NY ",$17 - $21 an hour
Cashier,Smashburger,3.5,"New York, NY +18 locations",$15 - $19 an hour
Part Time Stock Associate - Queens,Dr. Martens Airwair USA,4.0,"Elmhurst, NY ",$19 an hour
Part-Time Stockroom Assistant- NEW STORE City Point Mall,Primark,3.5,"Brooklyn, NY ",
City Point - Stock Room Retail Assistant,Primark - US,3.5,"Brooklyn, NY ",
Real Estate Administrative Assistant,Compass,3.2,"New York, NY ","$50,000 - $60,000 a year"
Medical Receptionist,CityMD,,"Brooklyn, NY +6 locations",$18 an hour
Social Media Manager,Core Home,4.1,"New York, NY ","$45,000 - $75,000 a year"
Laundry Associate,CRC Management Co LLC,,"Brooklyn, NY ",
Automotive Service Advisor,DANA FORD LINCOLN,,"Staten Island, NY ","$45,000 - $100,000 a year"
Front Office Assistant,Ferny Fertility New York,,"New York, NY ",$18 - $20 an hour
Front Desk Receptionist,Wholesale Footwear Industry,,"New York, NY ",
Part-Time Sales Associate - Famous Footwear,Famous Footwear,3.6,"New York, NY +5 locations",
Lead Cashier (Part-Time) - SUMMIT One Vanderbilt,"Event Network, LLC",3.3,"New York, NY ",$17 an hour
52nd & Lex Team-Up to $19-23/hour with Tips!,DIG,3.5,"New York, NY ",$19 - $23 an hour
Motorcycle Sales Associate,New York City Harley Davidson,,"Long Island City, NY ",
"Nike NYC Retail Sales Associate Part-Time (""Athlete"")",Nike,4.1,"New York, NY ",$15 an hour
Residential Cleaner,Diem Home Services USA,,"New York, NY ",$21.50 - $31.64 an hour
Public Finance Summer Analyst Program - 2023,Bank of America,3.8,"New York, NY ",
Security Concierge,Polaris Corporate Risk Management,,"New York, NY ",$33 - $38 an hour
Starbucks Barista - JFK Airport,HMSHost,3.1,"New York, NY ",$18.50 an hour
On Call Room Attendant (4)- Hotel Indigo LES,IHG,4.1,"New York, NY ",
Warehouse Picker Order Selector,Keurig Dr Pepper,3.1,"Maspeth, NY +1 location",$21.50 an hour
Project Manager (Remote),Mobile Health,3.1,"New York, NY ","$80,000 - $85,000 a year"
Team Member,Burger King,3.4,"Manhattan, NY +22 locations",
Well-paid fundraising role: 3-7pm Monday-Friday,Thoughtful Committed Citizens,,"Brooklyn, NY ",$20 - $40 an hour
Cashier,The Cheesecake Factory,3.8,"Elmhurst, NY +7 locations",$15 - $17 an hour
Leasing Professional - New York City,Greystar Real Estate Partners LLC,,"New York, NY +3 locations",$29 - $30 an hour
2022-2023 School Aide Posting - School: Baruch College Campus High School,NYC Department of Education,3.9,"Manhattan, NY +5 locations",
Barista - Temporary,Barnes & Noble,3.8,"New York, NY ",
11/9: Financial District Relationship Banker Virtual Hiring Event,JPMorgan Chase & Co,3.9,"New York, NY ",$25.00 - $30.29 an hour
"Food Service Worker, NoMad",DIG,3.5,"New York, NY ",$17 - $19 an hour
Administrative Assistant,Sony Music Entertainment US,4.3,"New York, NY ",
Office Assistant,JCS Orthopaedics,,"New York, NY ",$20 - $24 an hour
Part-time Administrative Assistant,Super Stars Tennis,,"New York, NY ",$22 - $25 an hour
"Warehouse Worker (11:00 am-7:00 pm, 5 days per week)",LaserShip,,"Maspeth, NY ",$16.50 an hour
Hiring Event-SSP America at JFK Airport,SSP America,,"Jamaica, NY ",
DSP Delivery Associate - SEASONAL - Walker $16.50+/Hr + Benefits,BAM Logistics LLC,,"New York, NY ",$16.50 - $18.00 an hour
Server/Bartender,BOHO KARAOKE ORCHARD,,"New York, NY ",$25 - $40 an hour
Mobile Car Cleaner,Green NY Mobile Car Wash LLC,,"New York, NY ",$20 - $40 an hour
Multi-Family Assistant General Property Manager,The Dermot Company,4.0,"New York, NY ","$62,999 - $80,000 a year"
Warehouse Associate,Furniture Rental Store,,"Brooklyn, NY ",$18 - $20 an hour
Sales Associate,CVS Health,3.3,"New York, NY +1 location",$15 an hour
Content Strategist,Monad,,"New York, NY ",
Freelance Script Writer,Filmless,,"New York, NY ",
Data Entry,Jaylyn Sales Inc,,"New York, NY ",$13.20 - $37.90 an hour
Sales Representative*,Power Home Remodeling,4.3,"Brooklyn, NY ","$75,000 - $90,000 a year"
Full Time Dog Walker/Day Shift,Lucky Dog Pet Services,,"New York, NY ",
Remote Accountant (Virtual Bookkeeper PART-TIME) – New York,Supporting Strategies,3.9,"New York, NY ",$27 - $35 an hour
Early Intervention Service Coordinator- All boroughs,Big Apple Children Services,,"New York, NY ",$40 - $48 an hour
"Concierge, 8 Spruce",Beam Living (A Blackstone Portfolio Company),,"New York, NY ",$20.35 an hour
Merchant Cash Advance Closer,Tip Top Capital Inc,,"New York, NY ","$75,000 - $250,000 a year"
Spanish teacher for preschools,Espanate LLC,,"Brooklyn, NY ",
Rider/Packer,Service Club Delivery,,"New York, NY ",$16 - $18 an hour
Delivery Driver Amazon- $20.50-$21.00/hr,DND Delivery LLC,,"Maspeth, NY ",$20.50 - $21.00 an hour
Front Desk Agent,The Rockaway Hotel,,"Rockaway Park, NY ",$16 - $20 an hour
Fedex Delivery Helper,Gama Service Express Inc,,"East Elmhurst, NY ",
"Host/Hostess/Cashier - Restaurant, Full Time, Soho",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
Drive Routes for Amazon Delivery Partner,Triple E Logistics Inc,,"Brooklyn, NY ",$20.25 - $23.00 an hour
Spanish Tutors,Tribeca Language,4.5,"New York, NY ",$35 - $60 an hour
Unit Clerk,St. Barnabas,3.3,"Bronx, NY ",
Patient Care Associate (PCA),NYC Health + Hospitals,3.8,"New York, NY ",$26 - $31 an hour
Urgent Care Receptionist,ProHEALTH Medical Management,,"New York, NY +2 locations",
Cashier - Mackage - Madison Ave,Mackage,,"New York, NY ",
Test Proctor,St. Paul's School of Nursing,3.3,"Rego Park, NY ",$14 - $15 an hour
Front Desk Receptionist for Luxury Medical Spa,Champs Elysees Clinic,,"New York, NY ",$18 - $20 an hour
Front Desk Receptionist/Medical Assistant,"Wuhua Jing MD, PhD, PC",,"New York, NY ",$17 - $28 an hour
Team Member,Wegmans Food Markets,4.1,"New York, NY ",$16.50 - $17.50 an hour
Front Desk Associate (Opening Shift) - Noho,Blink Fitness,3.3,"New York, NY ",
College Counselor,GREAT EXPECTATIONS COLLEGE PREP LLC,,"New York, NY ",
Life of the Party,SN19 Agency,,"New York, NY ",
Sales Associate - Starbucks Reserve - New Store Opening,Starbucks,,"New York, NY ",$17.86 - $23.62 an hour
"Food Service Worker, NoHo",DIG,3.5,"New York, NY ",$16 - $18 an hour
Director of Food and Beverage,The Standard Hotel,4.0,"New York, NY ","$210,000 - $220,000 a year"
Front Desk Receptionist,Guerlain Spa at The Plaza Hotel,3.3,"New York, NY ",$20 an hour
Hostess/Host,Glass House Tavern,3.3,"New York, NY ",$18 - $20 an hour
Host/Hostess,SUGARFISH by Sushi Nozawa,3.4,"New York, NY ",$20 an hour
"Seasonal Commission Selling Associate - Dresses/Kids, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
Spa/Hotel Front Desk Receptionist,QC Terme USA,,"New York, NY ",$24 an hour
Store Associate,Goodwill Industries Of Greater New York,3.8,"New York, NY +3 locations",$15.50 an hour
Security Guard - Armed,Lincoln Controls,3.7,"New York, NY ",$30 - $40 an hour
Seasonal: Overnight Inbound (Stocking),TARGET,3.6,"New York, NY +18 locations",
Medical Assistant,Podiatry Practice,4.0,"New York, NY ",$23 - $25 an hour
Director of Housekeeping,The Ritz-Carlton New York,4.4,"New York, NY ","$105,000 - $125,000 a year"
DOG WALKERS WANTED (NEW 9/24),GoDoG Walkers,,"Brooklyn, NY ",$18 - $40 an hour
"Seasonal Selling Associate - Cashmere/Sutton Ready to Wear, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $19 an hour
