Title,Company,CompanyRating,Location,Salary
Dispatcher,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY ","$700 - $1,100 a week"
Temporary Position - Janitorial Cleaners - Commercial Office Buildings,Alliance Building Services,3.3,"New York, NY ",$21.48 an hour
Retail Sales Associate,Walmart,3.4,"New York, NY ",
Data Entry Administrative Assistant,Seer Solutions Inc.,,"New York, NY ",$32 - $33 an hour
Stock Clerk,Sir/Madam,,"New York, NY ",$20 - $50 an hour
Dog Walker,TruWalks,,"New York, NY ",$20 - $42 an hour
Receptionist,Faegre Drinker,3.5,"New York, NY ",$26 - $31 an hour
Inside Sales Representative,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY ","$1,500 - $6,000 a week"
"Runner - Clinical Labs , Saturdays 8am to 8pm",NYU Langone Health,4.0,"New York, NY ",
Dishwasher and Busser,Sushi by m,,"New York, NY ",$18 - $35 an hour
Mail Clerk,The Farm Soho,,"New York, NY ",
Front Desk Attendant,St mars security,,"New York, NY ",$19 - $24 an hour
Greeter / Customer Service - Host,Rockstar Executive,,"New York, NY ",
"JUICE PRESS IS HIRING, FULL TIME/PART TIME + TIPS!",Juice Press,3.1,"New York, NY ",$17 - $22 an hour
Medical Instructor,Manhattan School of Computer Technology,3.3,"Brooklyn, NY ",$21.00 - $51.87 an hour
Sports Trader (NBA),FanDuel,3.8,"Jersey City, NJ ",
"Personal Shopper, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ","$46,176 - $77,376 a year"
"Commission Sales Associate - Balenciaga Women's Shoes, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15 - $30 an hour
Full-Time Chiropractor,Tru Whole Care,,"New York, NY ","$75,000 - $240,000 a year"
Personal Assistant,Smith & Associates,3.3,"New York, NY ","$80,000 - $95,000 a year"
City Laborer,NYC Careers,,"New York, NY ",$290 a day
THE LATE SHOW WITH STEPHEN COLBERT - Talent Department Assistant,CBS Studios,3.9,"New York, NY ",
Front Desk Associate,Capsule,3.4,"New York, NY ",
Paraprofessional,Preferred Home Care of New York,,"Bronx, NY +1 location",$20 an hour
Spa Attendant/Receptionist,Be Relax,,"Jamaica, NY ",
Front Desk Receptionist,EDSI,4.0,"New York, NY ",$25 an hour
Join us at Northwell Health’s Open House Career Events!,Northwell Health,3.9,"Forest Hills, NY ",
Scheduler,Northwell Health,3.9,"New York, NY +5 locations","$36,980 - $55,690 a year"
Front Desk Receptionist,"HMG Plus, Inc.",3.8,"New York, NY ",$25 - $27 an hour
Relief Concierge / Door Person,Allied Partners,,"New York, NY ",$22 - $27 an hour
Retail Associates,Hobby Lobby,3.6,"New York, NY ",
Dog Walker servicing NYC- $300- $500 a wk,MixyPaws Dog Walking,3.0,"New York, NY ",$300 - $500 a week
Warehouse Worker - Package Handler,United Parcel Service,3.7,"Maspeth, NY ",$15.50 an hour
Customer Success Manager- New York,Wonder,,"New York, NY +1 location","$105,000 - $136,000 a year"
